client_id,client_name,sector
C001,Checkers Hyper,Retail
C002,BlueSquare Offices,Commercial
C003,BrandMine Logistics,Industrial
C004,Dept of Public Works,Governmental
C005,Sunset Estate HOA,Residential
C006,Mbali Community Forum,Community
C007,TransGas SA,Industrial
C008,AfriPipeline Services,Industrial
C009,City of Johannesburg,Governmental
C010,Goldfields Retail Parks,Retail
C011,Kopano Warehousing,Industrial
C012,Limpopo Health Dept,Governmental
C013,Pretoria Tech Hub,Commercial
C014,North West Mines,Industrial
C015,Roodepoort Civic Forum,Community
